Rank on Chart,album,artist,peakRank,weeksOnChart,No. 1 Hits,Top 10 Hits
99,"

Back In Black

","

AC/DC

",4,373,2,9
100,"

Kane Brown

","

Kane Brown

",5,142,1,3
101,"

Cosmic

","
Bazzi
",14,72,1,3
102,"

reputation

","

Taylor Swift

",1,93,5,7
103,"

Greatest Hits

","

Guns N' Roses

",3,484,2,7
104,"

Greatest Hits So Far...

","

Zac Brown Band

",20,225,3,5
105,"

Tha Carter V

","

Lil Wayne

",1,47,4,11
106,"

Sounds Of Summer: The Very Best Of The Beach Boys

","

The Beach Boys

",16,176,2,13
107,"

Dirt Bag

","
Blueface
",48,2,2,13
108,"

All Time Greatest Hits

","

Lynyrd Skynyrd

",56,69,3,26
109,"

More Life

","

Drake

",1,127,9,11
110,"

Perception

","

NF

",1,98,2,2
111,"

Swimming

","

Mac Miller

",3,55,1,5
112,"

Their Greatest Hits 1971-1975

","

Eagles

",1,288,6,8
113,"

Greatest Hits

","

Bob Seger & The Silver Bullet Band

",8,291,N/A,N/A
114,"

Map Of The Soul: PERSONA

","

BTS

",1,19,3,4
115,"

Starboy

","

The Weeknd

",1,143,3,5
116,"

Ctrl

","

SZA

",3,115,1,2
117,"

Bad Habits

","

NAV

",1,22,1,2
118,"

Dying To Live

","

Kodak Black

",1,36,1,3
119,"

2014 Forest Hills Drive

","

J. Cole

",1,246,5,5
120,"

17

","

XXXTENTACION

",2,104,2,3
121,"

Harder Than Ever

","
Lil Baby
",3,66,2,3
122,"

Coconut Oil (EP)

","

Lizzo

",122,5,1,2
123,"

The Essential Michael Jackson

","

Michael Jackson

",31,291,6,10
124,"

The Lion King: The Gift (Soundtrack)

","
Beyonce & Various Artists
",2,5,6,10
125,"

Hotel Diablo

","

Machine Gun Kelly

",5,7,4,6
126,"

Culture II

","

Migos

",1,82,2,2
127,"

good kid, m.A.A.d city

","

Kendrick Lamar

",2,356,3,4
128,"

H.E.R.

","

H.E.R.

",23,96,N/A,N/A
129,"

Greatest Hits

","

Red Hot Chili Peppers

",18,222,1,7
130,"

California Sunrise

","

Jon Pardi

",11,159,N/A,N/A
131,"

Kamikaze

","

Eminem

",1,51,9,10
132,"

NOW That's What I Call Music! 71

","

Various Artists

",39,3,9,10
133,"

Night Visions

","

Imagine Dragons

",2,360,1,4
134,"

x

","

Ed Sheeran

",1,270,3,4
135,"

Golden Hour

","

Kacey Musgraves

",4,53,3,4
136,"

AEnima

","

Tool

",2,107,2,3
137,"

Beauty Behind The Madness

","

The Weeknd

",1,207,3,5
138,"

Blurryface

","

twenty one pilots

",1,223,1,2
139,"

BALLADS 1

","
Joji
",3,42,1,2
140,"

Blonde

","

Frank Ocean

",1,141,1,2
141,"

Suenos

","
Sech
",81,4,1,2
142,"

4REAL 4REAL

","

YG

",7,13,4,6
143,"

Hot Rocks 1964-1971

","

The Rolling Stones

",4,317,9,37
144,"

Greatest Hits

","

The Notorious B.I.G.

",1,189,3,4
145,"

ANTI

","

Rihanna

",1,186,2,8
146,"

Marshmello: Fortnite Extended Set

","

 Marshmello

",45,29,N/A,N/A
147,"

Feed Tha Streets II

","
Roddy Ricch
",67,40,N/A,N/A
148,"

The Very Best Of Daryl Hall John Oates

","

Daryl Hall John Oates

",34,55,4,22
149,"

Realer

","

YoungBoy Never Broke Again

",15,35,1,11
150,"

I Am You

","
YNW Melly
",20,33,1,11
151,"

Trench

","

twenty one pilots

",2,46,1,2
152,"

Hurts 2B Human

","

P!nk

",1,17,3,8
